"id","safra","y","VAR_1","VAR_2","VAR_3","VAR_4","VAR_5","VAR_6","VAR_7","VAR_8","VAR_9","VAR_10","VAR_11","VAR_12","VAR_13","VAR_14","VAR_15","VAR_16","VAR_17","VAR_18","VAR_19","VAR_20","VAR_21","VAR_22","VAR_23","VAR_24","VAR_25","VAR_26","VAR_27","VAR_28","VAR_29","VAR_30","VAR_31","VAR_32","VAR_33","VAR_34","VAR_35","VAR_36","VAR_37","VAR_38","VAR_39","VAR_40","VAR_41","VAR_42","VAR_43","VAR_44","VAR_45","VAR_46","VAR_47","VAR_48","VAR_49","VAR_50","VAR_51","VAR_52","VAR_53","VAR_54","VAR_55","VAR_56","VAR_57","VAR_58","VAR_59","VAR_60","VAR_61","VAR_62","VAR_63","VAR_64","VAR_65","VAR_66","VAR_67","VAR_68","VAR_69","VAR_70","VAR_71","VAR_72","VAR_73","VAR_74","VAR_75","VAR_76","VAR_77","VAR_78"
13,"201411",1,0,0,0,0,165.43,489,31.83,NA,1000,NA,NA,NA,NA,NA,83.72,NA,NA,NA,0,12,NA,0,NA,613.2,0,NA,NA,0,NA,1000,NA,0.090634138151029,0,NA,NA,NA,NA,222.81,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,360.78,NA,1000,NA,NA,45,538,NA,-0.0304781166421273,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,169,NA,NA,NA,NA,NA,NA
14,"201401",0,0,0,0,0,42.15,1903,NA,NA,750,428,NA,352,54.97,634,NA,50,1200,13,14,12,283,15,115.95,295.05,11,411,NA,12,18,750,30,0.133832912727673,1,NA,NA,NA,18,NA,108,11,0,18,18,12,109.95,18,139.98,18,5.91,98.37,397,NA,1500,1000,98.37,98.37,52,209,199.96,0.156301087833759,NA,NA,98.37,0,NA,14,-42,17,431.87,2.32,0,431,0,0,98.37,187.87,0,0
15,"201412",0,110,1,1,1,50.99,1228,NA,NA,500,345,NA,628,NA,NA,NA,NA,NA,NA,0,6,NA,0,64.06,152.98,3,NA,267,4,NA,500,NA,0.133832912727673,0,NA,NA,NA,NA,NA,NA,8,NA,NA,27,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,41,152,244.21,-0.133343746407103,NA,NA,NA,0,NA,8,NA,NA,512.48,NA,NA,438,NA,NA,NA,397.75,166.53,NA
16,"201402",1,167,6,2,2,NA,1542,NA,110.08,1500,345,10.61,NA,NA,1496,NA,134,NA,24,5,12,284,6,67.85,NA,0,826,377,5,NA,1500,10,0.133832912727673,1,400.83,74.27,NA,NA,NA,NA,10,NA,244,NA,10,NA,244,0,NA,NA,NA,751,NA,3939.54,469.77,NA,NA,42,NA,144,-0.0737564789495467,NA,836,NA,0,376.95,8,-13,NA,542.8,NA,1,-21,0,1,NA,590.43,196.97,1
17,"201412",0,117,1,1,2,70.84,1100,78.81,NA,2500,558,NA,244,40.08,315,NA,NA,NA,NA,0,12,NA,0,115.24,408.43,0,15,748,0,2,5000,NA,0.133832912727673,0,NA,NA,15.3,1,300.46,208,6,0,2,5,12,320.64,2,NA,-1,0,254.79,315,NA,1500,2500,254.79,254.79,66,285,484.46,0.534878115446101,5.1,NA,254.79,0,NA,13,-22,-2,558.94,NA,0,223,0,0,764.37,580.29,0,0
18,"201404",0,102,6,1,1,60.93,407,NA,63.88,600,NA,NA,NA,NA,NA,NA,NA,2067.17,NA,0,12,NA,0,NA,468.82,0,NA,250,0,NA,600,NA,0.090634138151029,0,191.64,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,600,600,NA,NA,45,307,NA,-0.0304781166421273,NA,NA,NA,1,430.6,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA
19,"201407",1,0,0,0,0,NA,203,35.32,25.98,1985.5,NA,32.11,NA,NA,NA,NA,NA,NA,NA,0,12,NA,0,NA,NA,0,NA,NA,0,NA,1985.5,NA,0.0571981886428283,0,25.98,224.77,NA,NA,105.98,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1985.5,1985.5,NA,NA,51,NA,NA,0.156301087833759,NA,NA,NA,1,166.82,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
20,"201411",0,0,0,0,0,NA,1466,NA,NA,2000,557,NA,89,NA,587,NA,42,3300,17,0,12,163,1,124.98,NA,6,224,NA,7,5,2000,14,0.133832912727673,1,NA,NA,0,5,NA,NA,4,0,5,3,6,NA,5,0,5,0,223.4,160,NA,2100,4100,236.98,223.4,54,NA,NA,0.219380082347677,9.48,836,236.98,0,NA,10,-78,5,558.05,14.22,0,901,0,0,223.4,NA,0,0
21,"201406",0,15,0,0,0,NA,101,NA,NA,600,NA,74.17,NA,NA,86,NA,NA,NA,NA,0,12,NA,0,NA,NA,0,57,NA,0,-2,1600,NA,0.0467093416827228,0,NA,593.36,NA,-2,NA,NA,0,NA,-2,NA,0,NA,-2,NA,-2,0,NA,86,NA,1100,1100,NA,113.2,27,NA,NA,-0.411786729965823,NA,NA,NA,1,0,NA,-34,NA,NA,NA,0,101,0,0,NA,NA,NA,0
22,"201402",1,0,0,0,0,37.55,410,2.97,NA,2500,NA,NA,NA,NA,367,NA,NA,5582.3,NA,0,12,NA,0,NA,262.85,0,4,NA,0,1,5000,0,0.090634138151029,0,NA,NA,0,0,2.97,NA,0,0,1,NA,0,NA,1,NA,0,0,289.66,367,NA,4041.15,1541.15,289.66,289.66,68,178,NA,0.648196909605187,11.58,NA,289.66,1,4800,NA,-6,0,NA,NA,0,215,0,0,579.32,NA,NA,0
23,"201404",1,0,0,0,0,NA,3418,NA,NA,3000,127,NA,NA,NA,583,NA,102,1006.06,92,41,12,2587,51,31.98,NA,0,216,NA,0,2,3000,0,0.133832912727673,10,NA,NA,0,1,NA,NA,3,NA,3,NA,4,NA,7,551.7,NA,NA,NA,583,NA,6018.18,1006.06,193.9,NA,44,NA,NA,-0.059298901120992,NA,2090,193.9,0,NA,4,-3,NA,127.93,7.76,0,864,0,0,NA,NA,0,0
24,"201401",0,175,6,1,1,NA,210,43.99,111.95,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,NA,0,NA,NA,0,NA,NA,0,NA,1000,NA,0.0571981886428283,0,239.9,NA,NA,NA,131.97,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,45,NA,NA,-0.0304781166421273,NA,NA,NA,1,892.16,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA
25,"201401",0,0,0,0,0,27.99,628,NA,NA,2000,NA,32.28,NA,32.09,320,NA,NA,2000,NA,0,12,NA,0,NA,139.98,0,0,NA,0,17,2000,0,0.133832912727673,0,NA,258.24,0,17,NA,158,0,4.79,17,NA,0,172.68,17,NA,17,14.37,239.63,320,NA,4000,3000,239.63,239.63,67,139,25.09,0.648196909605187,4.79,NA,239.63,1,1218.96,NA,NA,3,NA,NA,0,110,0,0,718.89,33.14,NA,0
26,"201402",1,97,1,1,1,84.76,275,NA,58.44,1218.23,NA,82.41,NA,NA,NA,NA,NA,1218.23,NA,0,12,NA,0,NA,593.32,0,NA,NA,0,NA,1218.23,NA,0.090634138151029,0,289.12,411.97,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2436.46,NA,NA,NA,65,395,NA,0.534878115446101,NA,NA,NA,1,719.13,NA,NA,NA,NA,NA,NA,-28,NA,NA,NA,NA,NA,NA
27,"201401",0,0,0,0,0,39.09,887,NA,NA,500,262,NA,NA,38.49,623,NA,0,1848.58,NA,0,5,NA,0,56.73,195.45,0,273,NA,0,-1,1800,0,0.133832912727673,0,NA,NA,0,-1,NA,192,5,0,-1,NA,6,192.47,-1,0,-1,0,205.7,91,NA,3148.58,2245.74,189.41,166.813333333333,55,195,327.28,0.219380082347677,0,NA,140.54,0,NA,7,-75,-1,397.11,0,0,386,0,0,617.1,106.74,134.49,0
28,"201404",0,41,0,0,1,74.94,626,NA,48.29,1200,NA,36.73,NA,102.64,NA,46.96,NA,NA,NA,0,12,NA,0,NA,389.59,0,NA,538,0,NA,1200,NA,0.133832912727673,0,386.32,257.11,NA,NA,NA,512,0,NA,NA,NA,0,513.25,NA,NA,NA,NA,NA,NA,184.9,1200,1200,NA,NA,56,276,79.37,0.242879678877368,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,-16,NA,NA,NA,391.66,NA,NA
29,"201406",0,0,0,0,0,NA,1302,NA,NA,2000,294,NA,295,59.99,838,NA,0,3560,NA,0,8,NA,0,133.92,NA,6,741,NA,7,1,NA,0,0.133832912727673,0,NA,NA,NA,NA,NA,59,6,NA,1,8,9,59.99,6,0,NA,NA,NA,510,NA,2640,1550,NA,NA,26,NA,166.92,-0.411786729965823,6.74,NA,337.02,0,NA,8,-10,NA,297.87,0,0,566,0,0,NA,175.65,0,0
30,"201405",0,21,0,0,0,92.43,4926,56.97,59.58,1000,1172,63.01,751,124.72,674,23.99,54,NA,41,19,12,789,35,326.75,469.58,9,375,NA,10,NA,1000,36,0.133832912727673,16,213.9,294.9,NA,NA,137.95,393,12,NA,1,35,12,398.83,2,509.91,NA,NA,NA,674,71.97,1700,2400,NA,NA,46,422,488.15,-0.016208722718011,NA,NA,NA,0,251.79,37,-12,NA,1178.47,2.56,0,41,0,0,NA,697.33,0,0
31,"201412",0,63,0,5,5,167.26,2521,NA,21.77,500,743,99.43,283,25.98,1066,NA,240,NA,105,28,7,1749,34,160.72,814.34,7,682,940,10,NA,1000,72,0.133832912727673,6,107.45,429.89,NA,NA,NA,104,10,NA,NA,13,12,105.95,16,399.86,NA,NA,NA,1066,NA,838,1338,NA,NA,35,806,421.23,-0.30845333657335,NA,1672,NA,0,621.65,34,NA,NA,749.77,NA,0,-12,0,0,NA,1360.05,0,0
32,"201411",0,9,0,0,0,82.39,3758,NA,29.99,600,292,29.99,467,NA,701,36.36,135,600,173,66,12,2269,76,93.74,132.39,11,400,1009,11,NA,600,0,0.133832912727673,10,29.99,59.99,NA,NA,NA,NA,12,NA,-2,22,12,NA,26,0,NA,NA,NA,701,290.88,NA,1545.89,NA,NA,32,131,407,-0.354107585360257,NA,2090,NA,0,1921.85,16,-63,NA,344.42,0,0,35,0,1,NA,868.07,48.49,1
33,"201407",0,123,1,0,0,250.81,3975,93.97,177.6,2759.03,1287,97.97,1319,158.93,NA,251.6,130,NA,87,39,12,2897,71,451.83,735.76,6,NA,907,12,NA,2759.03,NA,0.133832912727673,32,269.27,195.96,NA,NA,147.96,359,6,NA,NA,23,11,361.85,NA,509.85,NA,NA,NA,NA,449.89,2759.03,2759.03,NA,NA,46,732,1422.43,-0.016208722718011,NA,418,NA,0,5736.22,22,NA,NA,1466.85,NA,NA,4,NA,NA,NA,2779.81,173.78,NA
34,"201408",0,25,0,0,0,45.82,1091,82.65,91.96,1000,682,56.19,105,87.77,NA,47.9,NA,NA,NA,0,12,NA,0,148.59,245.8,0,NA,627,0,NA,1846.82,NA,0.133832912727673,0,91.96,223.86,NA,NA,578.55,217,8,NA,NA,7,11,266.16,NA,NA,NA,NA,NA,NA,217.03,1000,1000,NA,NA,36,174,378.07,-0.231735369185606,NA,NA,NA,0,430.68,51,NA,NA,804.56,NA,NA,12,NA,NA,NA,461.27,116.53,NA
35,"201407",0,10,0,0,0,NA,309,22.97,28.26,1735.39,NA,3.79,NA,NA,NA,57.45,NA,NA,NA,0,12,NA,0,NA,NA,0,NA,240,0,NA,1735.39,NA,0.090634138151029,0,197.82,3.79,NA,NA,109.33,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,411.06,1735.39,1735.39,NA,NA,32,NA,NA,-0.354107585360257,NA,NA,NA,1,945.78,NA,NA,NA,NA,NA,NA,-42,NA,NA,NA,NA,NA,NA
36,"201411",1,49,0,0,1,55.01,612,68.48,133.8,1600,NA,NA,NA,68.57,394,NA,NA,4600,NA,0,12,NA,0,NA,385.1,0,27,NA,0,38,4200,NA,0.133832912727673,0,646.72,NA,15.44,22,273.93,480,0,11.58,38,NA,0,480,38,NA,22,11.58,192.78,394,NA,2000,1600,192.78,192.78,41,385,155.53,-0.133343746407103,7.72,NA,192.78,1,829.16,NA,NA,22,NA,NA,3,-58,3,3,578.34,233.27,NA,3
37,"201403",0,4,0,0,0,185.28,580,29.69,NA,692.96,NA,43.31,NA,37.28,252,NA,NA,NA,NA,0,12,NA,0,NA,960.25,0,1,348,0,9,692.96,0,0.133832912727673,0,NA,109.97,7.32,9,59.38,111,0,7.32,9,NA,0,142.01,9,NA,9,7.32,121.9,252,NA,1202.14,1202.14,121.9,121.9,25,837,0,-0.411786729965823,NA,NA,NA,1,1545.59,NA,NA,9,NA,NA,0,109,0,0,365.7,30.68,NA,0
38,"201405",0,0,0,0,0,30.68,2041,NA,NA,1000,294,NA,75,41.62,291,NA,91,2000,21,18,12,431,20,92.92,214.76,1,0,NA,2,-7,1000,8,0.133832912727673,2,NA,NA,0,-7,NA,217,2,0,-7,1,3,332.96,-7,400,-7,0,175.7,291,NA,2000,1000,175.7,175.7,55,143,366.86,0.219380082347677,NA,836,NA,1,NA,23,-95,-7,400.49,NA,0,393,0,0,702.8,0,103.34,0
39,"201401",1,170,3,1,1,NA,2653,NA,23.99,1433.11,NA,25.99,NA,NA,146,NA,NA,1433.11,13,16,12,399,19,NA,NA,0,21,NA,0,31,1433.11,0,0.133832912727673,3,119.98,51.98,NA,31,NA,NA,0,3.85,31,NA,0,NA,31,NA,31,3.85,192.74,146,NA,3224.25,358.03,NA,192.74,32,NA,NA,-0.354107585360257,NA,NA,NA,1,1534.01,NA,NA,6,NA,NA,1,6,1,1,192.74,NA,NA,1
40,"201408",1,4,0,0,0,118.37,878,8.96,172.97,1200,683,127.01,NA,77.63,878,101.65,0,6000,NA,0,12,NA,0,160.36,828.59,0,514,666,0,14,2400,0,0.133832912727673,0,1210.79,779.06,9.86,14,8.96,373,4,0,14,NA,4,552.66,71,0,0,NA,246.45,426,711.55,2608.04,1552.01,246.45,246.45,46,649,519.86,-0.016208722718011,14.79,NA,246.45,1,411.49,23,-459,0,763.83,0,0,-48,0,1,492.9,292.45,77.31,1
41,"201410",0,0,0,0,0,91.67,1285,NA,39.98,700,734,31.58,619,164.77,141,83.01,NA,1880,NA,0,5,NA,0,155.99,519.03,5,18,NA,6,4,1400,NA,0.133832912727673,0,39.98,137.98,NA,4,NA,615,12,NA,4,40,12,623.8,4,NA,4,0,274.36,141,339.88,730,1430,NA,274.36,31,487,473.62,-0.411786729965823,NA,NA,NA,0,1029,52,-12,4,766.7,NA,0,60,0,0,NA,539.34,24.45,0
42,"201401",0,0,0,0,0,95.96,4414,73.16,12.38,1000,1282,21.99,574,103.94,NA,NA,235,1000,216,86,12,3101,89,295.19,479.82,12,NA,NA,12,NA,1000,45,0.133832912727673,3,61.91,109.97,NA,NA,365.86,516,11,NA,NA,35,12,519.77,NA,0,NA,NA,NA,NA,NA,2000,1000,NA,NA,69,477,722.08,0.721630021341369,NA,836,NA,0,8862.28,42,NA,NA,1291.18,NA,NA,70,NA,NA,NA,681.45,0,NA
43,"201407",1,102,1,1,1,NA,1622,34.97,36.38,2000,NA,24.78,110,NA,NA,17.99,42,NA,9,5,12,127,6,NA,NA,6,NA,NA,7,NA,2000,NA,0.133832912727673,1,181.93,123.91,NA,NA,69.95,NA,0,NA,NA,5,0,NA,NA,0,NA,NA,NA,NA,89.98,2000,2000,NA,NA,37,NA,NA,-0.231735369185606,NA,NA,NA,1,550.51,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA
44,"201401",1,154,3,1,1,37.5,495,NA,NA,200,NA,33.91,NA,26.99,NA,67.62,NA,200,NA,0,6,NA,0,NA,225.09,0,NA,NA,0,NA,200,NA,0.090634138151029,0,NA,237.37,NA,NA,NA,127,0,NA,NA,NA,0,188.93,NA,NA,NA,NA,NA,NA,270.48,400,NA,NA,NA,32,181,NA,-0.354107585360257,NA,NA,NA,1,459.17,NA,NA,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA
45,"201405",0,0,0,0,0,139.96,1793,15.12,29.16,700,740,68.55,239,58.2,1249,66.96,285,NA,37,10,6,234,11,161.42,671.91,10,1116,NA,12,NA,700,44,0.133832912727673,1,116.7,262.89,NA,NA,30.25,224,12,NA,NA,31,12,229.86,-3,809.49,NA,NA,NA,850,440.78,4208.39,1519.54,NA,NA,35,611,408.5,-0.30845333657335,NA,836,NA,0,575.58,75,-25,NA,754.79,NA,0,27,0,0,NA,372.25,0,0
46,"201402",0,48,0,0,1,59.96,2157,NA,NA,1000,140,NA,NA,139.66,502,70.29,NA,2400,16,9,10,269,16,67.62,99.94,0,196,134,0,9,1000,0,0.133832912727673,7,NA,NA,9.81,8,NA,388,1,NA,9,NA,3,392.81,9,NA,NA,NA,NA,502,312.09,3600,NA,163.31,NA,41,97,263.98,-0.133343746407103,6.54,NA,163.31,1,709.7,6,-9,NA,142.91,13.08,0,254,0,0,NA,290.57,0,0
47,"201411",0,0,0,0,0,NA,254,NA,NA,600,NA,NA,NA,NA,NA,143.67,NA,1000,NA,0,8,NA,0,NA,NA,0,NA,NA,0,NA,600,NA,0.0571981886428283,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1085.23,NA,600,NA,NA,64,NA,NA,0.534878115446101,NA,NA,NA,1,2510.37,NA,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,NA
48,"201412",0,0,0,0,0,15.15,310,NA,NA,1200,NA,NA,NA,NA,95,NA,NA,3000,NA,0,12,NA,0,NA,106.05,0,63,NA,0,1,1200,NA,0.090634138151029,0,NA,NA,NA,1,NA,NA,0,NA,1,NA,0,NA,1,NA,1,6.47,NA,95,NA,NA,3000,NA,323.62,57,69,NA,0.319424920164188,NA,NA,NA,1,NA,NA,-90,NA,NA,NA,0,310,0,0,NA,NA,NA,0
49,"201412",1,51,0,0,2,NA,904,NA,NA,300,84,19.99,NA,NA,NA,NA,NA,NA,NA,0,10,NA,0,64.99,NA,0,NA,729,0,NA,300,NA,0.133832912727673,0,NA,59.99,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,33,NA,90,-0.354107585360257,NA,NA,NA,1,1012.01,3,NA,NA,84.98,NA,NA,174,NA,NA,NA,252.01,0,NA
50,"201406",0,0,0,0,0,NA,1840,70.98,NA,1000,241,NA,NA,NA,NA,NA,7,1593,1,1,12,53,2,46.52,NA,0,NA,NA,0,NA,1000,NA,0.133832912727673,1,NA,NA,NA,NA,141.96,NA,2,NA,NA,NA,3,NA,NA,0,NA,NA,NA,NA,NA,1000,1000,NA,NA,30,NA,279.71,-0.411786729965823,NA,NA,NA,1,NA,8,NA,NA,372.16,NA,NA,237,NA,NA,NA,49.21,130.27,NA
51,"201406",0,26,0,0,0,140.33,1016,NA,46.4,1692,712,93.56,NA,127.92,271,50.13,NA,NA,NA,0,10,NA,0,203.49,653.86,0,148,230,0,10,4116,NA,0.133832912727673,0,232,291.88,6.05,10,NA,461,8,6.05,10,NA,9,463.7,10,NA,2,NA,302.7,271,217.36,3292,1692,302.7,NA,42,650,361.63,-0.0737564789495467,NA,NA,NA,0,164.36,35,-1,2,719.13,NA,0,49,0,0,302.7,653.48,0,0
52,"201405",0,0,0,0,0,104.1,875,NA,50,2300,42,53.93,NA,39.18,369,NA,NA,4000,NA,0,12,NA,0,42.5,104.1,0,43,NA,0,79,2300,0,0.133832912727673,0,50,377.51,20.61,79,NA,202,1,20.61,79,NA,2,313.44,79,NA,79,27.48,343.67,369,NA,6300,10600,343.67,343.67,57,104,43.53,0.319424920164188,13.74,NA,343.67,1,50.03,1,-620,79,42.5,NA,4,32,4,4,1031.01,87.06,0,4
53,"201401",1,179,6,1,2,105.69,2944,29.33,66.52,1300,137,23.36,NA,67.25,368,21.8,NA,2300,45,17,10,563,21,37.51,489.02,0,24,NA,0,58,1300,0,0.133832912727673,4,190.93,116.83,6.6,58,71,299,1,13.2,58,NA,1,318.98,58,NA,58,17.6,109.75,368,109,3100,NA,109.75,109.75,31,484,227.72,-0.411786729965823,2.2,NA,109.75,1,557.43,8,-5,58,138.94,NA,9,-43,9,9,658.5,673.6,0,9
54,"201405",0,21,0,0,0,121.81,1378,50.91,47.97,1000,NA,NA,NA,76.63,424,38.7,42,2500,7,0,4,235,0,NA,468.99,4,333,278,9,19,2000,21,0.133832912727673,0,67.97,NA,0,19,299.65,228,0,14.08,19,NA,0,229.9,19,0,19,7.04,352.19,203,77.4,5500,2500,235.31,352.19,46,370,0,-0.016208722718011,0,418,239.54,1,625.86,NA,-24,13,NA,4.96,0,13,0,0,704.38,81.44,NA,0
